state	action
1501	1
1505	36
36	62
369	15
136	17
54	7
132	66
207	51
89	31
137	28
301	80
51	75
136	11
64	54
373	25
76	60
56	62
305	14
56	48
136	6
136	1
1220	71
1208	2
589	72
169	37
301	48
789	19
132	23
374	21
305	48
376	27
135	76
471	78
113	48
66	20
741	65
739	24
137	58
136	60
60	43
56	56
447	66
417	75
462	13
60	58
319	79
844	25
57	61
376	8
54	17
374	66
52	29
58	22
137	29
57	28
216	68
57	48
305	10
382	4
56	26
9	34
1540	74
590	25
222	58
212	46
60	18
169	25
60	48
216	16
207	58
131	50
75	35
55	24
