state	action
61	15
448	52
59	76
66	53
379	2
0	47
5	31
6	12
0	41
316	27
18	43
47	64
113	68
115	59
319	24
191	45
95	5
2	77
110	38
479	23
338	50
2	66
111	59
111	3
114	14
18	20
226	39
47	40
1166	24
18	7
166	80
166	1
166	2
158	5
1407	72
204	75
227	59
541	31
88	64
75	21
49	29
68	38
203	8
447	57
145	55
92	38
75	8
1220	23
80	24
75	66
117	30
88	27
466	45
935	12
85	14
455	38
83	50
82	4
51	7
98	25
1	50
18	25
47	59
112	43
1	55
112	56
114	2
3	28
114	23
479	30
479	8
11	17
1	72
479	66
1	66
114	54
21	26
85	42
48	37
18	43
479	61
112	13
4	56
1	78
18	78
86	54
18	32
7	72
18	38
8	69
8	57
5	6
22	11
22	57
421	38
314	75
4	56
15	3
11	4
23	32
164	43
59	30
372	14
8	59
11	38
7	76
18	6
18	4
18	37
1	15
1	38
4	49
114	66
21	30
4	39
4	24
15	75
9	49
304	46
304	9
304	23
61	19
373	32
304	42
314	46
23	47
8	34
7	11
18	26
6	70
8	7
9	7
498	73
15	70
7	10
376	80
304	79
58	11
376	47
66	54
380	55
376	42
958	43
304	63
