state	action
492	11
1017	43
475	4
385	78
502	2
1017	52
56	57
216	17
216	23
595	38
218	12
136	20
136	39
129	29
55	72
136	1
216	54
397	68
462	47
56	71
216	64
216	12
447	57
216	75
216	66
56	1
56	76
447	70
56	13
56	47
477	77
207	19
303	32
303	15
136	77
136	33
136	13
136	39
136	36
136	13
136	65
136	11
136	33
136	52
136	35
136	16
136	73
136	26
136	34
136	33
136	13
136	6
136	59
136	16
136	9
215	61
136	66
136	44
136	80
136	25
137	58
136	76
136	56
298	40
136	27
137	35
67	62
68	38
301	31
129	8
67	76
128	62
128	72
128	24
127	75
67	58
67	10
67	17
129	80
128	5
128	1
128	1
131	33
129	24
129	7
96	70
129	11
67	68
60	34
168	19
140	8
129	31
129	9
