state	action
439	0
115	10
105	10
1202	10
105	20
1166	10
307	10
307	10
46	10
208	10
729	10
189	10
197	10
31	10
31	10
121	10
208	10
99	10
163	10
300	10
166	10
300	10
362	10
362	10
448	10
713	10
347	10
342	10
882	10
186	10
189	10
8	10
728	10
186	10
187	10
1204	10
117	10
117	10
507	10
902	30
307	10
24	10
31	10
188	10
188	10
187	70
223	20
46	20
396	10
37	10
1210	10
1211	10
182	10
62	10
23	30
114	20
224	10
224	10
114	20
114	10
121	10
113	10
64	10
64	10
162	10
164	10
111	10
930	20
930	20
582	10
943	10
450	10
8	10
166	10
448	10
453	10
370	10
370	20
184	10
121	10
112	10
461	10
461	10
2	10
2	10
158	10
300	20
122	10
111	10
121	10
110	10
110	10
110	20
622	10
1212	10
1208	60
478	10
1049	10
922	30
175	30
983	30
983	30
325	10
162	10
117	10
452	10
117	10
2	10
64	10
113	10
113	10
916	10
191	10
916	10
916	10
155	10
156	10
880	10
182	10
39	10
39	10
724	10
189	10
656	10
583	20
583	10
583	10
875	10
145	10
875	10
