state	action
66	38
112	75
90	4
816	56
816	2
813	1
118	52
812	21
52	57
961	48
820	55
444	44
83	19
83	26
216	20
90	58
90	74
90	8
90	39
90	70
114	70
18	42
18	26
112	31
114	1
114	57
18	50
0	66
18	66
18	34
113	57
112	60
112	28
114	77
114	75
85	66
479	71
93	16
85	35
90	15
89	48
75	41
60	17
113	11
112	22
112	25
112	16
112	9
112	15
112	40
112	37
85	68
90	32
90	19
90	47
89	66
18	61
7	57
7	53
7	13
18	71
18	25
17	65
7	79
18	63
7	80
7	20
8	16
7	73
7	66
7	71
47	47
18	80
18	48
18	70
1	43
18	75
112	77
18	48
112	11
18	5
18	56
18	49
18	49
18	79
18	77
18	72
18	26
18	33
66	78
1	28
18	58
18	79
7	11
7	21
66	70
7	7
7	28
7	5
18	47
7	38
7	24
7	30
8	37
8	2
18	21
7	61
7	6
17	21
18	75
7	71
7	38
18	53
7	19
8	74
18	72
1	12
1	36
1	13
18	52
18	5
18	3
2	72
64	57
64	24
64	21
114	66
114	28
86	68
129	59
137	60
67	59
86	47
85	51
85	26
18	69
1	43
7	69
6	46
0	58
7	65
8	30
8	17
22	28
3	4
114	28
114	23
114	45
1	46
7	55
8	22
1	21
90	68
112	41
114	20
18	42
18	46
8	78
1	12
18	54
18	14
8	68
18	75
1	63
1	31
18	11
18	24
18	7
18	16
83	68
3	13
138	30
3	21
22	43
22	51
22	48
22	67
22	14
22	19
22	32
22	41
22	45
3	33
22	2
22	6
22	71
22	18
22	11
447	60
447	53
1	70
1	63
1	61
18	73
18	24
18	33
18	26
18	22
18	2
1	63
1	16
18	42
18	45
18	58
112	80
1	64
1	28
1	57
1	54
0	52
1	33
8	45
8	31
8	25
8	17
7	56
7	8
7	23
7	25
7	52
18	39
7	1
18	68
7	73
66	72
18	49
7	18
66	71
7	29
18	6
7	28
7	70
7	12
7	78
18	75
18	29
9	72
8	25
8	7
0	53
0	11
0	9
0	18
56	63
0	35
8	76
8	65
8	19
8	23
90	64
90	17
112	38
18	10
112	20
66	70
7	42
7	53
8	32
7	50
7	23
112	78
7	50
4	56
1	67
7	14
18	66
18	44
18	19
18	29
18	24
18	5
112	76
112	18
1	46
18	35
7	45
7	20
8	43
8	16
7	53
7	54
7	25
8	44
8	27
8	22
6	2
8	1
8	35
8	14
8	27
8	1
8	53
8	57
6	75
8	33
6	1
6	11
8	37
6	79
7	28
7	7
23	25
7	40
66	60
6	29
8	26
23	73
66	24
7	63
1	62
8	31
1	75
7	69
23	22
7	10
7	28
6	58
6	41
6	10
22	79
8	64
8	57
8	29
7	55
7	24
7	80
7	22
7	80
7	35
7	16
4	80
4	5
1	77
18	66
112	63
112	62
112	24
112	78
112	26
18	37
18	3
66	17
66	48
66	21
7	46
18	56
7	61
7	53
18	51
18	15
7	26
8	71
7	67
7	62
7	33
7	5
6	15
23	39
0	58
372	53
372	62
8	74
969	71
967	48
971	1
965	63
965	66
965	19
973	34
408	9
408	22
7	22
329	59
930	8
112	72
112	41
114	31
851	18
975	36
975	27
847	12
975	31
849	47
975	68
