state	action
439	79
439	5
439	56
28	62
490	14
420	22
494	28
78	47
76	22
76	16
497	43
497	14
417	34
439	59
63	24
501	75
388	8
388	13
417	19
22	45
504	61
503	24
500	45
500	44
416	76
26	15
511	80
26	71
514	62
456	71
97	72
68	27
68	2
89	7
89	18
68	9
60	43
90	46
90	4
60	78
97	19
84	54
52	65
518	78
523	18
529	37
528	2
533	24
536	18
68	27
129	42
127	14
69	14
301	17
183	17
61	54
61	13
67	63
127	50
72	31
23	73
23	8
547	16
546	9
67	70
69	25
69	39
302	29
183	10
66	22
66	2
66	2
533	64
532	26
532	5
67	55
301	27
68	28
68	10
129	6
60	31
303	30
207	55
374	7
183	13
210	64
302	67
69	32
97	5
69	5
301	3
302	22
66	17
