state	action
63	49
66	33
23	10
23	7
11	49
60	51
376	47
379	77
372	57
372	18
372	13
48	34
43	66
63	20
304	36
0	54
66	39
784	53
44	49
14	8
481	16
1019	32
1019	67
1019	1
817	10
817	15
389	13
813	41
755	28
0	16
1019	50
752	29
742	11
813	59
57	78
216	75
55	63
60	72
216	69
741	79
741	2
739	28
1192	63
386	13
386	2
1197	40
849	16
502	37
373	69
378	80
388	69
822	64
373	70
378	79
377	46
373	50
56	35
373	18
63	33
63	1
61	1
66	47
304	48
380	32
381	44
480	79
347	54
1200	26
1200	4
321	69
317	4
1201	47
582	4
372	78
63	58
63	1
63	39
2	28
110	23
298	61
137	71
65	17
156	37
327	30
327	78
327	70
327	80
327	18
327	27
