state	action
399	77
305	30
304	1
66	12
305	35
305	46
379	60
389	29
379	48
63	40
380	42
380	3
63	29
65	68
216	18
50	48
502	33
453	18
502	30
137	56
453	40
394	4
394	4
1525	47
1525	10
435	18
557	16
557	41
557	27
557	51
1524	21
500	26
66	48
66	40
57	52
464	48
503	71
503	23
503	51
503	71
572	70
377	55
377	30
786	23
8	8
4	33
532	40
4	74
12	28
62	35
25	16
56	77
56	15
302	57
45	72
45	2
216	23
7	77
66	20
207	55
47	45
61	31
61	56
61	69
61	74
61	16
113	38
47	25
18	58
84	50
2	15
2	21
164	53
5	51
38	62
43	9
18	18
18	1
18	47
113	26
112	74
90	26
97	46
114	19
64	10
479	69
79	17
136	32
137	32
139	44
55	8
138	41
65	71
93	49
49	19
87	23
466	16
118	19
448	54
79	54
219	60
219	75
219	24
219	19
