state	action
743	0
791	10
743	90
743	10
354	10
307	10
196	10
309	10
309	10
302	10
179	10
179	10
179	10
164	10
18	10
16	10
47	10
18	10
47	10
47	10
158	10
504	10
416	10
64	10
112	10
158	10
47	10
1	10
18	10
112	10
2	10
64	10
2	10
114	10
114	10
115	10
48	10
114	10
114	10
64	10
86	10
86	10
115	10
89	10
86	10
1	10
2	10
112	10
88	10
116	10
114	10
114	10
47	10
370	10
18	10
110	10
158	10
113	10
113	10
1	10
1	10
18	10
1	10
121	10
1	10
2	10
18	10
18	10
1	10
18	10
47	10
1	10
18	10
18	20
1	10
69	10
1	10
7	10
189	10
17	10
17	10
196	10
307	10
16	10
183	10
183	10
9	10
17	10
7	10
8	10
158	10
45	10
439	10
439	20
314	20
16	10
2	10
47	10
16	10
183	10
302	10
16	10
110	10
47	10
18	10
64	10
116	10
504	10
191	10
1	10
18	10
47	10
47	10
160	10
729	10
186	10
6	10
176	10
307	10
461	10
729	10
164	10
164	10
1166	10
110	10
166	10
2	10
47	10
164	10
158	10
64	10
67	10
1	60
18	10
18	10
8	10
7	10
18	10
47	10
89	10
89	10
89	10
84	10
53	10
84	10
115	10
48	10
416	10
416	10
3	10
48	10
3	10
48	10
533	10
161	10
1	10
1	10
48	10
1	10
1	10
4	10
12	10
12	10
4	10
4	10
25	10
4	10
12	10
24	10
1	10
3	10
18	10
47	10
314	10
17	10
2	10
17	10
7	10
16	10
16	10
17	10
370	10
219	10
12	10
213	10
188	10
188	10
176	10
183	10
177	10
196	10
9	10
62	10
9	10
16	10
9	10
18	10
1	10
18	10
18	10
47	10
47	10
47	10
17	10
344	10
343	10
342	10
592	10
67	10
90	10
90	10
85	10
85	10
85	10
85	10
76	10
67	10
67	10
90	10
90	10
90	10
1167	10
1167	10
135	10
924	10
771	10
396	10
1166	10
887	10
66	10
47	10
592	10
343	10
1167	10
592	30
343	30
343	30
1108	50
771	10
224	20
1202	10
344	10
158	10
9	20
58	10
304	10
304	10
305	10
372	10
66	60
3	20
0	10
372	10
372	20
0	10
372	10
60	10
58	10
59	10
371	10
314	10
10	10
17	20
17	10
182	10
16	10
17	10
329	10
585	40
39	10
3	10
3	10
2	10
2	10
1	10
302	20
16	10
9	10
9	10
47	10
85	10
85	10
479	10
85	10
114	10
85	590
114	10
47	10
47	50
10	40
86	20
57	10
112	10
90	10
86	10
84	10
68	20
128	10
53	10
86	10
65	10
68	10
90	10
89	10
68	10
301	10
301	10
110	10
110	10
113	10
47	10
792	10
792	10
790	10
162	10
117	10
452	10
132	10
88	10
78	10
78	10
221	10
750	10
219	10
127	10
208	10
160	10
191	10
113	10
89	20
109	10
140	10
607	10
607	10
924	10
342	10
1167	10
924	10
343	10
924	10
60	10
169	10
298	10
207	10
305	10
308	10
216	10
216	10
216	10
56	10
133	10
54	10
129	10
138	10
136	10
136	10
129	10
128	10
128	10
129	10
112	10
478	10
416	10
18	20
224	10
223	10
13	20
461	10
112	10
112	10
68	20
67	10
75	10
75	20
52	10
217	10
301	20
133	10
138	10
321	10
55	10
65	10
65	10
364	10
363	10
169	10
60	10
215	10
595	10
462	10
136	10
221	10
216	10
56	10
740	10
447	10
56	20
136	20
216	20
216	20
447	30
447	20
138	10
136	20
664	10
138	10
65	10
56	10
501	10
742	10
304	30
66	10
66	10
374	10
447	10
739	10
447	10
740	10
740	10
447	20
373	10
378	10
57	10
22	10
449	10
453	10
210	10
210	10
207	10
60	10
216	10
216	10
207	10
60	10
373	10
595	10
595	10
395	10
56	10
376	10
56	10
369	10
216	10
56	10
216	20
216	10
216	10
65	10
58	10
137	10
207	10
216	10
60	10
138	10
65	10
374	10
216	10
60	10
137	10
207	10
220	10
58	10
169	10
207	10
216	10
216	10
216	10
136	10
136	10
136	10
136	10
136	10
136	10
216	10
65	10
216	10
58	10
216	10
57	10
138	10
57	10
303	10
137	10
129	10
303	10
207	10
369	10
209	10
449	10
502	10
380	10
380	10
55	10
55	10
56	10
57	20
380	10
61	10
56	10
56	10
393	30
397	10
370	10
397	10
397	10
369	10
370	10
370	10
371	10
369	10
216	10
216	10
216	10
57	10
373	10
57	10
63	10
128	10
129	10
136	10
739	10
138	20
55	10
138	10
55	10
54	10
128	10
54	10
131	10
448	10
216	10
137	10
136	10
65	10
55	10
128	10
136	10
58	20
305	10
56	10
373	10
373	10
373	10
373	10
373	10
376	10
304	10
304	10
61	10
61	10
59	10
61	10
59	10
61	10
375	10
380	10
59	10
66	10
24	10
63	10
61	10
371	10
374	10
302	10
59	10
304	10
66	10
61	50
61	10
57	10
56	10
56	10
60	10
60	10
302	10
302	10
62	10
45	10
45	10
63	10
63	10
61	10
62	10
62	10
45	10
371	10
187	10
9	10
210	10
18	10
47	10
47	10
9	10
164	10
17	10
17	10
7	10
62	10
6	10
370	10
372	10
63	10
370	10
7	10
23	10
12	10
17	10
7	10
18	10
47	10
18	10
183	10
302	10
61	10
61	10
58	10
59	10
58	10
58	10
58	10
58	10
58	10
305	10
305	10
304	10
58	10
58	10
59	10
59	10
59	10
304	10
58	10
59	10
59	10
61	10
373	10
374	10
302	10
380	10
376	10
376	10
60	10
60	10
58	10
59	10
397	10
370	10
382	10
50	10
57	10
57	10
216	10
60	10
375	10
210	10
210	10
