state	action
819	78
396	25
7	44
8	40
8	5
63	62
2	9
3	36
22	23
22	46
208	59
47	22
24	72
59	61
66	60
56	77
963	21
492	20
489	43
963	21
492	64
1014	39
1014	40
492	49
492	39
492	27
492	70
492	21
8	57
6	21
18	80
61	53
514	65
471	45
471	3
471	61
158	78
17	22
17	29
9	4
47	10
89	67
47	35
314	73
62	47
62	24
314	24
22	69
304	78
304	15
1	31
0	60
0	64
67	33
67	17
90	6
90	7
64	63
22	69
22	1
93	35
22	19
47	60
18	47
18	3
23	59
370	67
370	13
370	8
370	24
370	7
370	24
370	9
370	54
6	63
8	40
12	77
12	72
17	18
17	32
17	5
8	76
4	19
4	34
5	79
5	52
5	20
5	53
6	80
6	70
6	66
6	62
6	44
63	46
0	45
6	32
6	47
420	49
819	35
819	66
819	48
819	30
819	72
819	73
819	4
819	2
819	2
819	52
819	19
819	5
819	2
819	4
819	5
499	34
314	62
162	63
453	30
448	2
25	25
448	79
162	36
18	24
18	20
1	13
3	53
3	1
1	58
1	64
1	5
1	3
2	35
3	58
3	75
3	2
3	74
3	1
440	34
21	72
21	34
3	33
4	70
447	66
22	39
22	67
4	22
0	23
8	23
61	80
61	43
61	27
61	39
61	9
55	62
0	14
55	5
304	80
18	6
18	49
66	39
66	33
372	66
379	37
441	76
441	75
12	31
4	37
12	76
4	21
8	57
10	64
10	56
4	15
314	79
6	16
6	50
0	13
0	41
0	32
0	13
0	57
373	68
23	33
23	23
23	48
6	31
66	63
304	15
18	41
66	1
18	67
66	25
22	69
22	32
22	71
22	74
216	73
303	31
303	8
61	5
216	54
66	50
216	71
216	9
76	55
88	5
76	6
55	56
55	15
136	36
216	64
216	7
216	2
216	45
55	48
55	67
65	42
65	15
53	45
54	15
57	73
0	66
56	19
0	14
0	4
0	64
138	60
447	15
0	23
55	36
138	74
447	34
447	10
447	76
50	75
138	68
447	17
604	11
515	59
538	70
538	19
538	7
538	6
538	58
538	8
549	70
56	64
56	48
56	32
56	72
56	7
595	58
219	12
56	29
56	17
447	38
447	66
22	77
447	44
68	39
75	52
84	18
75	60
90	47
67	13
67	48
67	4
67	18
63	59
22	63
447	79
439	54
50	73
22	41
447	1
447	48
447	47
447	44
596	19
477	40
740	17
612	21
740	47
440	33
440	23
740	59
740	43
22	19
22	73
447	57
22	42
740	66
320	58
320	6
0	46
56	43
0	21
0	21
56	49
56	50
56	24
0	24
56	14
0	6
56	5
56	35
0	11
0	27
55	72
447	53
1014	30
492	24
492	54
492	6
492	73
492	31
492	2
492	25
492	19
492	4
492	13
492	44
492	42
492	19
406	10
56	74
447	26
447	62
447	72
22	41
447	56
475	12
475	9
739	62
739	8
22	25
382	57
439	16
50	43
439	47
439	5
439	1
439	74
439	12
439	68
439	42
0	66
451	76
448	13
56	49
0	10
56	10
56	55
55	72
56	19
0	13
56	47
55	52
0	53
55	62
56	60
216	76
216	58
0	22
216	64
216	18
440	79
739	6
440	30
440	31
454	11
440	37
440	75
739	67
56	56
65	60
65	17
139	13
0	77
138	42
439	13
439	19
0	5
55	36
56	21
55	3
216	56
56	40
56	26
56	65
63	72
0	62
303	56
56	59
60	79
60	9
207	60
462	38
221	29
60	47
55	20
0	42
303	51
596	80
596	25
464	24
503	50
