state	action
370	0
944	10
334	10
450	20
25	10
368	10
368	10
220	10
313	20
311	10
875	10
994	10
397	10
308	20
308	10
311	10
346	10
352	10
346	10
58	10
58	30
311	10
311	10
397	10
397	10
308	10
58	10
395	10
395	10
453	10
584	10
461	10
395	10
453	10
382	10
376	10
220	10
397	10
220	10
58	10
220	10
1199	10
1395	10
161	10
378	10
775	10
1204	10
1520	10
12	10
983	10
8	10
325	10
329	10
336	10
196	10
880	20
17	10
189	10
307	10
35	10
329	10
24	10
880	10
17	10
325	10
1288	10
35	10
325	10
223	10
24	10
17	10
945	10
946	10
903	10
582	10
1258	10
219	10
160	10
158	10
461	10
322	10
362	10
1202	10
582	10
584	10
162	10
448	20
158	10
322	10
533	10
533	10
743	10
1506	10
1506	10
353	10
743	10
43	10
503	10
505	10
45	10
370	20
11	10
440	10
21	10
416	10
471	20
440	10
439	10
440	10
503	50
33	10
499	10
431	10
799	10
501	10
1522	10
1522	10
511	10
511	10
790	10
511	10
790	10
790	10
783	20
11	10
11	10
33	10
1523	10
1523	10
41	10
471	10
790	10
790	10
790	10
790	10
