state	action
66	0
7	10
8	20
415	10
415	30
497	10
15	10
15	10
15	10
5	30
10	10
7	30
7	10
8	20
4	60
4	10
7	10
7	30
7	50
7	10
23	10
23	240
23	10
7	10
7	10
7	10
18	10
1	30
401	40
4	160
3	20
3	10
421	10
497	10
954	10
957	20
378	10
305	20
378	30
399	10
383	30
373	10
816	20
378	10
377	10
379	30
379	10
372	20
372	20
304	10
304	10
10	20
66	20
372	30
389	30
372	20
304	30
304	10
305	30
305	20
377	20
372	10
379	40
304	30
305	10
373	40
373	20
373	10
372	40
55	70
136	20
379	40
304	50
372	10
216	30
216	30
56	30
56	10
60	10
216	10
138	20
138	10
739	10
739	10
138	20
22	10
22	10
0	10
0	10
299	10
299	10
61	10
59	10
304	10
373	10
305	10
373	10
9	20
61	10
17	30
63	20
303	20
302	60
