state	action
22	59
47	70
4	53
8	55
10	29
8	59
5	63
8	73
8	12
18	65
3	43
18	29
1	48
1	1
18	67
12	43
4	26
195	30
9	11
7	15
8	61
7	14
7	12
7	23
18	24
4	78
8	16
3	71
21	65
3	26
1	5
114	75
4	77
8	74
195	9
17	20
17	23
47	43
60	62
55	70
55	5
739	75
56	29
373	27
397	15
740	42
740	22
664	71
216	70
216	6
136	34
136	15
55	28
60	18
218	28
138	3
65	39
216	17
56	65
216	19
740	44
56	27
55	76
133	34
133	11
139	52
55	23
135	20
454	7
65	80
135	10
55	70
136	30
136	13
