state	action
0	0
136	10
186	10
781	10
86	10
86	10
90	10
96	10
94	10
86	10
88	10
132	10
592	10
924	10
207	10
207	10
216	10
56	30
53	20
65	10
572	20
572	10
600	20
310	10
310	10
310	10
310	10
599	10
310	10
310	10
600	10
599	10
600	10
218	10
769	10
323	10
324	10
320	10
451	10
449	10
586	10
589	10
211	10
365	10
586	10
586	10
310	10
599	10
586	10
394	10
598	10
396	10
367	10
323	10
600	10
182	10
600	10
312	10
309	10
586	10
312	10
396	10
307	30
187	10
540	10
329	10
195	20
345	20
306	20
186	20
186	10
995	10
368	10
205	10
594	10
944	10
195	10
468	50
303	10
607	10
581	20
321	20
451	20
221	10
298	10
221	10
613	10
477	10
57	10
60	10
447	10
60	10
595	10
205	10
515	10
543	10
612	10
50	10
12	10
10	10
34	20
946	10
189	10
949	10
