state	action
63	54
63	51
63	34
63	2
759	21
758	7
382	48
140	76
221	54
754	32
135	42
137	69
137	1
132	17
68	66
452	65
110	69
132	58
52	28
485	15
460	9
303	29
470	73
60	20
65	57
57	69
136	60
65	16
53	72
54	8
132	14
128	5
136	70
55	14
139	71
139	1
65	44
128	63
129	33
53	26
55	42
137	74
54	72
55	62
136	4
136	5
55	53
136	27
216	60
135	61
133	28
54	24
55	64
55	9
215	21
321	22
137	17
137	68
770	7
139	63
221	27
129	36
132	48
132	10
728	62
371	27
116	12
