state	action
439	9
17	71
713	75
362	40
61	57
61	78
61	60
9	26
61	10
66	50
66	55
66	42
66	16
66	33
61	64
61	28
9	6
66	67
66	61
66	69
66	30
66	40
66	15
63	79
61	51
61	57
66	17
66	34
66	63
66	76
66	23
66	43
66	2
66	25
66	37
66	70
66	66
7	58
66	45
7	71
7	58
66	32
370	26
7	79
9	16
325	59
7	24
66	21
7	37
7	25
66	50
66	15
66	64
7	51
66	59
16	16
302	63
302	5
61	60
61	17
61	73
9	80
9	11
9	13
7	71
370	53
8	70
8	35
9	31
10	65
8	61
18	66
18	2
18	61
195	69
194	33
307	74
307	30
344	53
343	12
111	23
91	38
91	1
89	49
90	49
111	47
18	45
66	76
66	4
18	47
298	16
136	53
303	43
65	29
324	35
320	26
322	53
511	61
