state	action
0	0
2	10
1	10
3	20
1	10
1	10
3	10
5	10
6	20
7	10
7	10
7	10
9	10
8	10
4	10
10	10
10	60
8	20
7	10
7	10
7	20
7	20
4	40
4	20
4	70
7	50
8	20
7	30
8	80
8	20
4	10
10	10
12	10
8	10
17	10
18	10
18	30
8	10
10	10
4	30
15	10
19	20
8	20
4	80
10	20
20	10
7	10
8	20
21	10
3	60
3	20
1	30
3	30
8	30
14	10
4	40
4	20
4	30
7	10
7	10
11	20
11	10
8	10
8	20
8	10
8	50
8	20
7	80
7	50
7	10
7	10
8	10
8	10
4	10
4	10
4	10
11	60
23	20
7	20
8	10
8	50
25	10
4	10
26	80
13	10
15	30
30	30
32	10
10	10
20	10
20	10
20	20
10	10
17	10
4	10
4	10
12	10
4	10
10	10
15	10
27	10
19	10
36	10
38	10
38	20
39	10
40	10
40	10
42	40
11	10
33	30
6	40
38	10
46	10
38	10
47	10
47	10
1	20
2	30
52	10
53	10
57	20
58	10
17	10
