state	action
66	0
68	10
68	10
71	10
73	10
68	10
71	10
67	10
67	10
68	10
69	10
75	10
78	10
74	20
51	10
67	10
75	10
84	10
75	10
86	10
85	10
90	10
91	10
85	20
85	10
85	20
86	10
94	10
85	10
95	10
92	10
90	10
92	20
85	10
90	10
96	10
97	10
86	10
69	10
98	10
101	10
75	10
67	10
79	10
103	10
71	10
69	10
83	10
68	10
82	10
107	10
88	10
92	10
109	10
112	10
114	10
115	10
111	10
123	10
110	10
121	10
113	10
94	10
100	10
100	10
72	10
75	10
75	10
67	10
83	20
71	30
67	10
84	20
132	10
51	10
132	10
128	10
133	10
136	10
65	10
138	20
139	20
142	10
144	10
149	10
152	10
123	10
36	10
48	10
2	10
158	10
158	10
3	10
159	10
47	10
165	10
91	10
169	10
173	10
176	10
178	10
181	10
182	10
16	10
185	10
187	10
16	10
9	10
62	10
189	10
111	10
121	10
191	10
29	10
188	10
24	10
195	10
45	10
62	10
62	10
176	10
45	10
