state	action
63	0
113	10
112	10
111	10
120	10
224	10
86	10
89	10
85	10
90	10
90	10
89	20
89	10
89	10
108	10
85	10
86	10
116	10
117	10
64	10
422	10
506	10
48	10
2	10
156	10
3	10
415	10
416	10
26	10
20	10
10	10
931	10
329	10
933	10
2	10
1	10
18	10
18	20
18	10
1	10
18	10
1	10
164	10
64	10
112	10
479	20
479	10
3	10
1	30
64	10
2	60
6	10
6	10
6	20
45	160
930	10
81	10
115	10
18	10
113	10
112	10
112	10
115	10
18	10
1	10
1	10
3	10
2	10
461	10
3	10
3	10
3	10
2	10
3	10
48	10
20	10
10	10
416	10
2	10
48	20
2	10
159	10
3	10
10	10
10	10
10	10
4	10
4	10
10	10
8	10
24	10
302	10
47	10
3	10
48	20
3	10
21	10
21	10
440	10
21	10
416	10
504	10
21	10
353	10
421	10
433	10
421	10
10	20
10	10
29	10
1	10
162	10
501	10
417	10
440	20
471	10
26	10
13	10
10	20
880	10
362	10
1	10
47	10
47	10
1	10
3	10
3	10
3	10
1	10
1	10
1	10
1	10
48	10
533	10
785	10
128	10
214	10
129	10
129	10
76	10
49	10
101	10
108	10
70	10
68	10
160	20
162	10
907	10
3	10
461	10
159	10
930	10
930	10
833	10
48	10
2	10
930	10
36	10
35	10
329	10
39	10
195	10
187	10
938	10
937	60
195	10
158	10
161	10
164	10
833	10
835	10
109	10
96	20
72	10
942	10
713	10
713	100
463	10
905	10
510	10
34	10
930	10
946	10
903	10
947	10
