state	action
1202	57
1155	40
303	70
136	17
303	44
136	42
136	22
595	53
207	17
60	61
57	21
447	65
477	39
57	30
512	36
788	4
138	36
216	60
307	32
374	54
116	27
2	52
67	9
67	33
1	30
75	72
301	59
167	43
127	48
72	69
67	19
97	49
97	75
87	11
935	16
204	19
329	35
907	17
3	58
930	7
3	27
3	9
162	4
3	17
21	29
433	31
421	59
421	21
421	1
433	7
903	66
208	72
163	15
164	14
79	57
595	29
85	25
79	6
82	14
364	36
68	32
78	74
121	50
218	79
218	30
218	29
218	74
195	80
196	65
9	41
23	76
307	79
333	65
18	80
18	65
300	29
300	2
110	48
208	80
163	47
31	72
160	5
160	6
31	13
205	56
