state	action
0	74
23	10
23	41
440	51
6	30
7	33
7	5
7	12
7	28
3	29
18	31
18	15
66	3
66	4
22	60
22	30
314	78
6	11
12	44
8	9
7	11
8	4
10	35
17	50
4	22
17	50
4	58
10	10
43	73
43	27
43	4
6	62
5	8
62	71
7	77
7	6
9	9
9	3
8	43
7	36
8	76
7	23
4	64
4	75
3	35
8	58
17	17
16	55
61	16
18	41
18	77
47	17
1	63
3	8
1	17
18	32
18	5
1	61
7	22
8	54
8	38
27	59
354	16
4	56
4	61
4	17
10	29
15	4
4	31
8	13
8	13
10	44
4	80
8	55
10	68
8	72
4	14
13	26
8	37
8	1
18	45
18	71
18	75
1	4
3	11
18	12
1	14
10	49
440	51
440	2
440	48
739	44
56	17
755	23
501	39
501	50
501	69
114	73
3	45
6	63
6	80
5	43
6	53
8	40
8	28
8	16
440	78
440	66
440	47
8	56
4	49
10	48
15	59
15	15
