state	action
448	0
25	10
35	10
10	10
26	10
26	10
26	10
20	10
17	10
17	10
44	10
33	10
42	10
189	10
24	10
4	10
20	10
508	10
35	10
43	10
24	10
187	10
24	10
12	10
946	10
532	10
34	10
532	10
11	10
6	10
5	10
62	10
450	10
38	10
450	10
314	10
9	10
8	10
20	10
10	10
25	10
12	10
12	10
25	10
12	10
12	10
20	10
10	10
10	10
20	10
329	10
10	10
10	10
10	10
20	10
12	10
20	10
4	10
12	10
38	10
314	10
860	10
35	10
44	10
11	10
44	20
6	10
44	10
17	10
20	10
4	10
17	10
8	10
18	10
1	10
48	10
21	10
366	10
363	10
376	10
220	10
1229	10
851	10
368	10
600	10
62	10
23	10
174	10
183	10
302	10
299	10
59	10
375	10
308	10
374	10
305	10
376	10
373	10
502	10
394	10
22	10
0	10
61	20
59	10
304	10
304	10
372	20
310	40
598	10
308	10
1395	10
588	10
215	10
57	10
369	10
60	10
216	10
56	10
207	10
60	10
583	10
449	10
57	10
216	20
169	10
311	10
1393	10
1394	10
1139	10
1255	10
927	10
141	10
146	10
