state	action
743	0
788	40
791	10
789	70
324	10
325	10
17	40
17	10
314	10
189	40
189	20
4	40
25	110
162	40
448	10
448	30
162	10
162	10
114	10
478	30
416	20
416	20
63	50
63	10
63	60
2	50
450	110
1	220
0	50
1	10
8	10
48	20
48	30
48	30
66	10
66	60
46	100
46	10
187	10
16	10
16	20
302	10
16	10
375	20
164	10
183	10
302	10
374	50
375	60
375	20
374	20
305	20
395	70
395	30
187	20
187	10
372	130
305	170
58	50
59	10
56	130
0	110
379	260
377	120
384	210
444	20
441	10
4	90
48	70
115	30
115	10
49	30
112	40
112	80
795	40
799	20
798	10
795	40
802	40
496	60
809	50
444	30
742	10
475	130
22	150
502	260
417	50
502	100
417	10
134	50
741	10
128	50
55	90
54	40
50	120
439	120
393	10
817	100
420	10
817	10
454	70
397	20
139	10
139	10
55	50
55	20
55	20
56	40
373	10
56	20
503	60
571	40
572	10
457	10
571	10
84	60
128	110
90	20
67	10
69	20
97	20
97	20
97	20
75	210
49	170
49	40
49	20
49	20
113	30
86	50
2	20
64	30
207	20
97	40
110	30
301	10
301	20
110	20
16	10
16	10
325	10
161	10
319	30
743	50
