state	action
1189	62
56	43
56	3
373	29
373	7
62	40
23	8
23	18
7	66
7	21
6	69
4	61
23	66
8	68
8	62
4	6
4	6
4	27
8	17
7	40
414	28
216	35
56	44
56	56
56	3
56	42
447	26
8	76
8	78
7	54
6	21
6	11
7	38
6	11
23	48
393	75
382	56
447	43
216	71
216	26
377	46
57	68
6	69
23	55
5	78
22	40
22	42
394	33
372	22
58	41
378	59
362	57
322	6
207	58
216	79
55	79
56	67
56	45
595	11
447	52
60	10
216	38
54	74
55	37
451	21
9	44
61	60
61	4
61	29
61	17
58	29
374	18
374	23
