state	action
210	25
160	14
930	15
76	34
336	26
336	74
336	7
24	68
187	29
16	44
9	18
2	27
88	47
140	58
158	49
0	37
374	80
1142	71
45	70
397	73
116	72
213	44
184	21
1141	75
1142	10
375	57
313	58
202	21
131	34
9	56
298	51
298	19
298	2
56	10
447	18
50	44
363	18
886	14
886	1
180	25
48	41
158	48
307	30
314	70
322	63
89	48
75	32
84	5
124	44
303	23
56	77
1108	73
589	27
346	15
930	23
307	68
9	20
88	45
179	65
179	1
158	15
63	51
598	38
1395	5
0	71
46	26
396	15
209	12
209	13
97	45
74	54
69	33
164	73
1	3
158	49
303	51
56	63
343	31
61	61
115	66
85	24
164	24
117	76
95	48
137	16
301	58
369	30
65	4
1394	49
916	31
195	24
1019	47
970	4
969	7
369	25
57	42
75	49
85	21
371	45
309	5
333	71
139	64
50	60
