state	action
149	0
621	120
621	10
1	20
622	10
349	10
626	10
627	10
629	10
630	10
632	10
634	10
634	10
634	10
641	40
293	10
642	10
645	10
652	10
651	10
653	10
654	10
655	50
365	10
663	10
664	20
581	10
211	10
205	10
205	10
205	50
202	80
204	10
206	10
203	10
469	60
30	240
30	10
30	250
681	460
678	120
678	10
678	20
678	10
688	20
688	10
692	20
694	50
694	10
694	10
697	20
697	10
694	10
705	40
706	10
708	10
223	10
37	20
37	10
709	10
711	20
712	10
712	10
714	30
714	10
0	20
715	30
716	10
182	10
719	10
721	10
722	10
687	10
687	10
724	10
725	10
726	10
726	10
166	10
728	10
729	10
729	10
302	10
223	10
370	10
370	10
448	10
448	10
336	10
63	10
370	10
45	10
8	20
7	10
25	20
307	10
307	10
190	10
367	10
212	10
731	10
363	10
449	10
733	10
735	20
737	10
320	10
146	10
363	10
348	20
738	10
