state	action
743	17
789	22
743	57
743	15
63	73
159	70
22	41
4	43
25	69
25	11
162	32
162	38
162	12
162	11
478	39
506	13
416	39
63	25
63	35
2	7
17	66
0	44
0	10
6	29
162	37
448	55
3	28
3	79
379	61
22	4
0	11
0	32
0	39
48	24
66	78
66	64
7	32
46	63
16	55
183	77
375	76
207	18
305	52
305	28
223	60
462	18
23	44
66	5
0	38
6	47
372	58
305	75
305	33
59	75
59	30
373	68
373	34
372	32
66	32
373	14
372	62
373	35
373	46
373	16
378	61
378	41
379	50
4	10
440	61
21	7
373	63
379	24
378	27
378	10
447	34
441	45
441	31
442	16
6	50
6	26
4	13
22	66
439	4
48	16
439	19
51	52
90	79
800	74
798	3
798	18
796	12
798	51
802	28
443	52
404	51
444	43
664	36
501	63
664	62
415	31
742	10
22	65
447	26
447	37
740	61
739	37
664	68
501	29
477	30
417	1
417	47
417	16
500	59
417	62
417	7
136	72
136	42
0	33
0	38
447	77
135	48
439	51
439	78
811	72
753	66
454	33
370	75
55	70
0	50
572	74
571	64
457	18
63	57
55	45
136	76
69	59
301	39
90	80
66	13
90	17
0	79
54	67
93	65
93	45
93	3
115	60
51	38
113	55
64	62
110	33
69	23
97	12
97	56
301	34
161	51
161	26
789	54
743	12
743	64
743	43
743	63
743	29
458	23
458	8
458	10
