state	action
219	79
462	53
302	53
302	71
302	77
302	21
302	10
302	50
302	14
302	38
302	23
302	41
462	59
376	47
183	73
62	10
1	61
0	28
396	74
4	61
8	25
7	47
23	38
876	32
62	58
9	29
48	42
3	4
4	34
47	49
45	60
158	28
184	58
183	12
196	19
510	29
326	26
176	79
307	1
17	7
183	57
16	4
302	15
318	55
479	77
479	42
479	32
479	26
117	53
87	17
115	30
472	59
472	47
574	26
574	4
457	46
814	21
60	78
136	16
136	45
56	27
89	58
488	29
129	47
54	30
55	53
52	17
56	50
132	68
76	13
