state	action
149	69
146	18
621	49
1	16
622	11
629	42
633	24
640	48
639	4
645	39
656	68
656	6
136	69
469	72
30	51
30	26
30	59
30	1
30	21
204	9
30	69
30	76
205	79
30	59
30	66
30	52
30	52
30	2
30	56
30	15
30	27
30	71
30	20
30	67
30	49
666	39
668	44
668	30
683	64
676	72
681	15
678	80
595	65
218	2
218	42
694	6
694	51
706	65
37	51
327	5
711	27
712	19
713	12
713	8
448	25
448	7
322	28
715	7
722	54
727	63
179	35
336	76
20	71
25	8
369	76
735	31
369	46
