state	action
179	17
374	15
164	11
160	75
25	16
213	31
213	14
311	26
862	73
378	61
373	24
58	5
9	8
23	27
23	44
16	68
7	21
24	71
6	78
314	24
371	72
371	1
305	79
216	5
305	41
66	57
67	70
128	11
23	80
58	63
311	41
208	29
216	59
216	13
216	8
216	18
216	46
60	37
216	21
216	8
216	36
60	60
216	70
137	76
136	41
0	35
110	74
89	80
18	22
112	43
97	66
164	45
111	56
129	78
97	19
89	49
112	40
117	70
48	36
123	74
54	60
53	60
137	67
128	71
54	26
137	24
85	78
85	10
189	70
184	9
469	64
115	22
111	10
226	5
158	46
48	37
