state	action
223	0
550	10
552	10
556	20
562	20
565	10
567	10
566	10
509	10
572	10
55	10
53	10
53	10
458	10
451	10
512	10
470	10
222	10
55	10
132	10
222	10
395	10
201	10
578	10
582	10
39	10
63	10
586	10
586	10
73	10
128	10
54	10
51	10
217	10
76	10
131	10
131	10
222	10
129	10
592	10
591	10
593	10
350	10
348	10
348	10
594	10
595	10
222	10
596	10
597	10
597	10
394	10
0	10
302	10
177	10
311	10
211	10
205	10
599	10
61	10
305	10
376	10
380	10
63	10
321	10
369	10
53	10
53	10
303	10
129	10
137	10
302	10
219	10
376	10
57	10
53	10
53	10
99	10
301	10
217	10
301	10
53	10
351	10
124	10
129	10
131	10
470	10
601	10
602	10
145	10
221	10
140	10
451	10
537	10
605	10
605	10
609	10
611	10
612	10
385	10
313	10
613	10
615	10
