state	action
22	0
194	20
778	10
193	10
345	10
345	10
878	10
23	10
7	10
182	10
195	10
880	10
25	10
25	10
881	20
882	10
880	10
476	10
20	10
329	10
8	10
42	20
16	10
157	10
496	10
567	10
92	10
2	10
119	10
886	10
163	10
17	10
224	10
78	10
97	10
109	10
366	10
97	10
69	10
71	10
64	10
113	10
85	10
49	10
86	10
115	10
366	10
70	10
117	10
888	10
782	10
97	10
97	10
892	10
8	10
9	10
189	10
9	10
1	10
345	20
8	10
16	10
10	10
26	10
187	10
8	10
24	10
9	10
208	10
195	10
894	10
895	10
900	40
895	10
69	10
89	10
88	10
544	10
534	10
113	10
115	10
84	10
301	10
69	10
68	10
80	10
907	10
325	10
325	10
226	10
160	10
31	10
31	10
162	10
3	10
1	10
7	10
7	10
7	10
7	10
7	10
7	10
2	10
729	10
910	10
3	10
1	10
25	10
3	10
416	10
160	10
161	10
31	10
204	10
108	10
911	10
915	10
916	10
823	10
108	10
592	10
918	10
921	10
49	10
135	10
922	10
923	10
343	10
