state	action
66	39
353	71
353	10
21	25
22	56
421	36
1	45
1	6
67	39
128	61
298	23
136	16
136	16
139	30
55	23
138	27
138	29
133	34
133	5
133	35
54	36
54	8
55	13
55	14
138	64
316	51
316	2
322	7
114	69
112	47
112	46
113	21
479	8
48	44
1	47
47	73
112	64
112	36
114	15
118	60
115	65
119	15
115	16
158	47
90	59
90	66
90	4
479	70
112	16
86	31
479	57
479	50
479	1
479	20
114	38
112	36
112	21
112	7
112	35
112	51
114	22
90	67
90	9
90	6
118	37
21	39
114	24
48	33
86	75
67	75
67	2
67	60
85	66
93	36
