state	action
22	0
8	20
4	20
4	20
12	20
17	20
1	20
1	20
17	20
10	20
10	20
8	20
8	20
10	20
24	20
8	20
8	20
11	40
5	20
17	60
8	20
8	20
2	20
158	20
18	20
1	20
18	40
18	20
1	40
18	40
18	20
18	20
2	20
4	20
4	20
7	40
66	20
18	20
8	20
8	20
7	20
7	20
7	20
18	20
18	20
18	20
4	20
8	20
10	20
15	20
12	20
3	20
18	20
416	20
21	20
21	20
162	20
479	20
114	20
114	20
1	20
1	20
15	20
4	20
48	20
1	20
8	20
17	20
17	40
8	20
8	20
18	20
47	20
216	20
65	40
595	60
613	20
739	20
451	20
447	20
373	40
378	20
447	20
740	20
477	20
216	20
447	20
664	40
55	20
138	20
216	20
216	20
55	60
216	20
137	20
57	50
56	50
216	40
216	40
56	40
57	20
55	40
133	40
55	40
55	20
138	20
55	20
739	20
56	60
55	20
451	20
138	40
55	20
55	20
