state	action
223	0
223	20
461	40
223	20
60	20
183	20
380	20
63	20
447	20
0	20
137	20
60	20
373	20
369	20
2	20
223	20
223	20
24	20
48	20
115	20
22	20
25	40
216	20
305	20
58	40
305	40
305	20
305	20
60	20
304	40
305	40
378	20
373	40
305	20
376	40
376	20
380	60
305	20
66	60
379	40
22	20
373	60
304	160
305	20
305	20
373	20
305	60
58	20
308	20
373	20
136	40
0	20
65	60
223	20
136	20
373	40
305	20
305	20
216	20
216	20
216	20
397	20
223	20
462	20
58	20
207	20
308	20
169	20
324	20
322	20
322	20
320	20
320	60
58	20
