state	action
783	32
1185	79
600	74
60	73
372	66
882	60
1665	4
222	42
214	13
214	1
222	42
53	19
129	53
303	26
303	1
207	27
216	39
302	56
302	54
302	35
302	49
302	10
302	68
302	41
302	2
302	23
302	40
302	5
302	67
302	45
302	7
16	27
65	38
56	37
136	34
136	73
60	25
66	72
66	8
136	21
137	6
136	51
56	78
169	63
216	8
216	5
137	78
55	50
216	58
216	49
55	46
298	61
136	18
56	45
60	15
55	56
216	76
216	7
136	13
136	22
55	32
56	36
216	45
55	29
55	17
136	33
216	16
216	18
216	67
97	70
93	76
455	44
455	10
75	21
75	40
67	23
75	76
67	63
67	65
67	16
84	14
11	49
443	55
441	36
441	5
