state	action
448	24
158	63
364	29
114	25
137	38
614	49
303	66
138	32
506	36
113	70
317	54
54	4
128	72
129	44
222	27
132	35
53	32
63	33
63	34
370	70
63	44
222	73
222	14
132	9
132	5
222	79
222	61
222	28
322	38
1147	69
66	65
66	2
61	64
61	22
452	75
206	37
221	7
137	4
136	79
303	77
302	13
61	61
211	71
137	69
137	31
128	15
83	49
536	50
74	18
41	21
41	41
41	66
41	3
41	66
82	66
67	63
301	59
51	70
75	73
67	49
67	11
67	8
68	35
301	46
54	74
129	42
129	46
54	18
129	31
129	2
129	11
52	73
133	8
129	73
129	26
128	27
216	74
216	7
216	47
216	69
60	31
216	24
216	1
216	35
216	27
373	47
305	58
216	80
55	25
216	75
55	30
216	58
136	58
216	45
56	44
216	4
216	73
216	8
216	68
216	47
216	30
